 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,334.425,137.530,0,11.561,2.484,7.602,26.218,98.158,0.200
2,1,1,334.913,137.463,0,10.655,2.359,6.899,22.875,82.926,0.200
3,1,2,334.998,137.441,0,10.845,2.370,6.965,23.194,84.380,0.200
4,1,3,335.023,137.395,0,10.755,2.378,7.007,23.390,85.234,0.200
5,1,4,335.054,137.313,0,10.764,2.391,7.078,23.706,86.569,0.200
6,1,5,335.046,137.269,0,10.688,2.387,7.052,23.572,85.908,0.200
7,1,6,335.072,137.191,0,10.614,2.402,7.138,23.974,87.695,0.200
8,1,7,335.049,137.096,0,10.563,2.406,7.159,24.068,88.080,0.200
9,1,8,335.030,137.066,0,10.472,2.420,7.233,24.413,89.620,0.200
10,1,9,335.028,137.038,0,10.415,2.418,7.222,24.356,89.342,0.200
11,1,10,335.029,137.007,0,10.373,2.424,7.258,24.523,90.069,0.200
12,1,11,335.075,136.954,0,10.349,2.395,7.081,23.672,86.328,0.200
13,1,12,335.064,136.985,0,10.273,2.410,7.171,24.114,88.386,0.200
14,1,13,335.035,136.928,0,10.184,2.393,7.072,23.632,86.165,0.200
15,1,14,335.012,136.893,0,10.143,2.385,7.029,23.444,85.375,0.200
16,1,15,335.049,136.841,0,10.156,2.389,7.051,23.558,85.908,0.200
17,1,16,335.031,136.831,0,9.990,2.384,7.023,23.403,85.152,0.200
18,1,17,335.005,136.794,0,10.030,2.386,7.041,23.520,85.780,0.250
19,1,18,335.022,136.797,0,9.916,2.389,7.049,23.530,85.732,0.200
20,1,19,335.072,136.821,0,9.971,2.388,7.046,23.522,85.702,0.200
21,1,20,335.046,136.771,0,9.908,2.397,7.090,23.722,86.587,0.250
22,1,21,335.013,136.658,0,9.826,2.381,7.006,23.329,84.795,0.200
23,1,22,334.992,136.664,0,9.761,2.378,6.986,23.226,84.310,0.250
24,1,23,334.986,136.595,0,9.780,2.384,7.020,23.390,85.047,0.200
25,1,24,334.991,136.522,0,9.702,2.373,6.962,23.122,83.833,0.200
26,1,25,334.984,136.493,0,9.629,2.377,6.986,23.224,84.242,0.200
27,1,26,334.937,136.469,0,9.583,2.375,6.981,23.222,84.326,0.200
28,1,27,334.933,136.411,0,9.560,2.384,7.026,23.418,85.134,0.200
29,1,28,334.918,136.378,0,9.520,2.386,7.037,23.466,85.313,0.200
30,1,29,334.916,136.341,0,9.486,2.390,7.057,23.553,85.674,0.200
31,1,30,334.905,136.328,0,9.395,2.393,7.074,23.631,86.012,0.200
32,1,31,334.913,136.233,0,9.421,2.389,7.060,23.593,85.935,0.200
33,1,32,334.440,136.317,0,10.097,2.529,7.845,27.331,103.053,0.200
34,1,33,334.441,136.278,0,10.022,2.524,7.814,27.171,102.280,0.200
35,1,34,334.433,136.298,0,10.028,2.529,7.840,27.291,102.800,0.200
36,1,35,334.447,136.295,0,9.917,2.537,7.888,27.524,103.888,0.200
37,1,36,334.449,136.219,0,9.870,2.538,7.900,27.592,104.234,0.200
38,1,37,334.427,136.205,0,9.830,2.527,7.841,27.337,103.160,0.200
39,1,38,334.420,136.178,0,9.719,2.529,7.850,27.361,103.183,0.200
40,1,39,334.419,136.168,0,9.668,2.534,7.878,27.497,103.830,0.200
41,1,40,334.424,136.118,0,9.650,2.527,7.837,27.304,102.949,0.200
42,1,41,334.431,136.180,0,9.625,2.539,7.904,27.613,104.341,0.200
43,1,42,334.410,136.160,0,9.512,2.544,7.938,27.799,105.290,0.200
