 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,335.221,137.514,0,9.842,2.425,7.217,24.189,88.165,0.200
2,1,1,335.363,137.544,0,9.874,2.436,7.275,24.448,89.291,0.200
3,1,2,335.421,137.569,0,9.949,2.462,7.422,25.136,92.343,0.200
4,1,3,335.361,137.396,0,9.917,2.496,7.608,25.993,96.135,0.200
5,1,4,335.448,137.366,0,9.908,2.488,7.564,25.800,95.339,0.200
6,1,5,335.391,137.354,0,9.853,2.483,7.547,25.755,95.244,0.200
7,1,6,335.453,137.216,0,9.606,2.504,7.661,26.285,97.613,0.200
8,1,7,335.427,137.248,0,9.477,2.475,7.501,25.541,94.294,0.200
9,1,8,335.431,137.099,0,9.528,2.514,7.732,26.691,99.773,0.200
10,1,9,335.442,137.078,0,9.189,2.510,7.713,26.611,99.448,0.200
11,1,10,335.463,137.037,0,9.339,2.503,7.678,26.457,98.762,0.200
12,1,11,335.438,137.002,0,9.173,2.500,7.656,26.328,98.087,0.200
13,1,12,335.352,137.052,0,9.201,2.480,7.555,25.890,96.271,0.200
14,1,13,335.409,137.011,0,9.050,2.485,7.568,25.903,96.121,0.200
15,1,14,335.413,136.992,0,9.121,2.499,7.633,26.160,97.117,0.200
16,1,15,335.434,136.926,0,9.122,2.466,7.441,25.226,92.777,0.200
17,1,16,335.475,136.905,0,8.930,2.463,7.434,25.237,92.993,0.200
18,1,17,335.410,136.902,0,8.843,2.495,7.623,26.164,97.336,0.200
19,1,18,335.382,136.929,0,8.813,2.498,7.634,26.191,97.362,0.200
20,1,19,335.407,136.897,0,8.803,2.470,7.476,25.423,93.750,0.200
21,1,20,335.433,136.872,0,8.586,2.462,7.436,25.264,93.171,0.200
22,1,21,335.419,136.839,0,8.706,2.483,7.549,25.786,95.503,0.200
23,1,22,335.373,136.748,0,8.612,2.448,7.337,24.726,90.484,0.200
24,1,23,335.356,136.726,0,8.554,2.422,7.209,24.193,88.345,0.200
25,1,24,335.319,136.646,0,8.435,2.433,7.275,24.522,89.915,0.200
26,1,25,335.304,136.562,0,8.423,2.430,7.245,24.302,88.565,0.200
27,1,26,335.285,136.596,0,8.267,2.447,7.322,24.602,89.704,0.200
28,1,27,335.255,136.520,0,8.165,2.467,7.443,25.233,92.807,0.200
29,1,28,335.329,136.478,0,8.299,2.418,7.171,23.941,86.922,0.200
30,1,29,335.266,136.423,0,8.217,2.439,7.294,24.543,89.706,0.200
31,1,30,335.305,136.400,0,8.258,2.424,7.210,24.146,87.907,0.200
32,1,31,335.278,136.395,0,7.945,2.403,7.099,23.636,85.673,0.200
33,1,32,335.220,136.354,0,8.039,2.421,7.191,24.044,87.389,0.200
34,1,33,335.257,136.374,0,7.759,2.423,7.209,24.149,87.976,0.200
