 ,X,Y,Median
1,72,42.88,1196
2,28,41.28,1138
3,61.6,28.96,1133
4,43.2,25.12,944
5,1.44,53.6,884
6,49.76,20.32,807
7,25.92,15.36,764
8,58.4,55.52,760
9,56.96,32.64,750
10,37.12,24.96,711
1,45.44,44.48,765
2,35.2,36.64,759
3,11.2,57.28,719
4,62.4,27.52,689
5,31.04,19.68,682
6,28.48,50.4,659
7,23.04,22.56,605
8,72.96,16.96,602
9,62.72,42.88,591
10,53.6,54.56,557
11,60.64,23.84,552
12,61.28,45.92,548
13,80.8,40,536
14,35.04,53.6,506
15,9.28,17.76,489
1,57.76,30.72,987
2,48.16,78.24,930
3,29.92,51.36,748
4,7.68,29.76,738
5,51.84,34.56,701
6,21.12,30.88,688
7,38.4,16.16,609
1,62.56,44.96,1281
2,64.48,45.44,1278
3,20.8,54.72,962
4,24,40.8,823
5,54.08,30.4,701
6,51.84,58.08,677
7,79.68,37.92,663
8,81.28,59.2,661
9,16.64,7.84,634
10,28.96,65.76,603
11,13.6,24.96,589
1,22.08,28.96,1031
2,45.6,47.2,984
3,73.6,18.72,757
4,13.28,48.16,739
5,14.08,63.36,705
6,40.16,64,695
7,51.84,13.92,681
8,22.88,35.04,679
9,5.12,58.08,669
10,76.64,18.08,626
11,67.2,20.48,620
1,47.84,46.4,1024
2,33.44,56.8,978
3,74.56,51.36,902
4,35.36,37.76,863
5,73.28,37.44,860
6,33.6,41.12,857
7,67.36,32.48,801
8,18.08,45.12,783
9,69.44,32.48,691
10,57.6,48,689
11,2.56,52.32,664
12,73.12,69.44,653
1,32.8,52.48,1604
2,65.6,38.88,1473
3,52,28.64,1420
4,15.52,49.92,1416
5,24.64,54.88,1245
6,18.88,54.72,1232
7,66.72,4.48,1178
8,75.84,8.48,1045
9,35.68,8.96,1004
10,71.36,34.4,925
11,10.4,26.56,904
12,21.76,16.48,886
13,13.44,37.76,839
14,28.48,39.84,814
15,65.92,21.44,723
1,54.56,16.48,2049
2,37.92,4.8,1816
3,33.44,52.48,1649
4,42.24,24.64,1562
5,32.48,51.2,1284
6,47.84,23.84,1271
7,47.36,37.28,1163
8,49.76,20.96,991
9,80,75.84,904
10,16.16,9.44,879
11,21.44,21.6,827
12,37.6,10.88,804
13,18.4,44,798
1,44.8,29.44,1123
2,62.24,22.56,828
1,59.52,23.68,575
1,38.08,25.76,754
1,39.52,26.24,1474
2,39.04,29.12,1213
3,39.2,31.84,1159
