 ,X,Y,Median
1,48.64,60.64,380
2,49.12,12,346
3,58.24,54.08,345
4,13.92,43.36,314
5,44.8,26.88,293
1,57.28,10.4,432
2,31.04,64.16,374
3,32.96,63.2,313
1,58.08,29.76,575
2,61.76,28.48,507
3,14.4,35.2,347
1,62.72,32.32,375
2,54.24,56.64,369
3,61.92,64,339
4,55.68,59.68,314
5,43.68,37.44,288
6,39.52,41.6,276
7,43.2,45.12,272
1,66.08,41.92,486
2,13.76,21.44,390
3,36.16,55.84,376
4,62.4,15.52,301
1,47.52,46.72,803
2,42.88,17.28,369
1,31.52,67.04,467
2,72.16,18.56,366
3,5.44,26.08,317
4,19.84,42.56,292
5,59.04,18.08,290
1,49.6,40.64,536
2,12.8,31.36,525
3,45.76,41.12,517
4,61.76,36.8,458
5,30.72,50.72,291
6,43.36,7.52,272
7,60.96,3.2,266
1,44,18.56,431
2,31.68,23.04,345
3,46.56,48.64,307
1,75.68,14.4,771
2,77.44,47.04,419
3,53.76,68.8,405
4,57.28,51.2,375
5,67.52,8.48,350
6,37.28,4.32,316
7,75.84,40.96,304
8,24.64,33.28,300
1,53.92,37.28,476
2,40.16,62.4,420
3,50.56,16.32,386
1,57.12,45.12,643
2,6.72,32,523
3,71.04,39.04,510
4,72,39.04,491
5,56.8,14.88,447
6,55.68,14.4,385
1,57.92,42.4,674
2,21.12,33.28,596
3,54.08,43.2,580
4,69.92,38.88,467
5,70.4,39.52,458
6,51.68,9.28,292
7,39.04,52.96,285
8,22.4,63.84,281
9,7.2,62.72,280
10,66.24,45.44,279
11,22.4,43.04,275
1,56.32,49.92,326
2,60.96,47.04,325
3,40,34.08,296
1,60,32,567
2,66.88,48,508
3,8.64,47.04,471
4,11.04,45.6,434
5,71.2,60.96,291
6,64.96,9.12,274
1,54.88,34.24,300
2,60.8,44.32,286
3,55.2,39.04,279
1,53.28,38.56,642
2,16,64.8,475
3,36.64,16.64,414
1,36.8,40,460
2,42.56,27.84,434
3,33.28,38.56,412
4,27.04,29.44,404
5,30.88,31.84,400
6,42.88,47.52,399
7,35.84,32.48,351
8,33.44,19.2,351
9,35.2,31.68,350
10,37.92,46.72,311
11,52.8,22.24,311
12,31.84,29.6,307
13,54.24,28,307
14,63.04,38.4,306
15,53.76,63.52,299
16,61.92,57.28,299
17,44.96,35.36,297
18,46.08,32.48,293
19,43.68,49.44,289
20,39.68,55.2,285
21,45.44,30.08,279
22,35.36,49.92,277
1,3.04,40.32,468
2,63.52,45.92,374
3,18.88,53.44,358
4,74.56,8,310
5,18.72,17.6,295
1,34.88,30.4,469
2,29.28,28.16,461
1,66.4,37.76,802
2,10.08,34.08,748
3,67.2,38.72,680
4,11.2,34.24,486
5,60.96,69.92,408
6,65.44,12.96,370
7,30.56,29.44,353
