 ,X,Y,Median
1,44.8,43.2,412
2,60.48,66.56,393
3,55.52,61.28,387
4,20.64,28.96,380
5,17.28,42.4,370
6,0.16,53.6,369
7,21.28,34.56,344
8,33.92,28.16,333
9,31.04,20.48,325
10,57.44,29.76,324
11,41.44,48.8,322
12,24.16,38.56,318
13,0.32,3.84,317
14,36.16,18.24,316
15,16.8,24.48,315
16,53.92,21.76,315
17,35.52,49.28,310
18,7.68,14.4,306
19,44.32,11.2,306
20,14.88,40.96,300
21,55.52,21.6,296
22,69.6,61.92,294
23,3.04,27.04,291
24,2.56,74.4,287
1,46.4,46.56,468
2,26.4,29.76,465
3,48.96,48.64,429
4,58.24,64.16,390
5,40.48,57.12,366
6,41.12,20.8,351
7,41.44,64.48,344
8,29.6,39.04,337
9,28.96,50.72,326
10,2.88,37.12,326
11,25.28,12,325
12,36.64,18.72,324
13,53.92,57.92,319
14,48.8,18.24,317
15,71.52,43.2,316
16,45.44,26.88,308
17,34.88,18.72,306
18,53.44,10.56,300
19,32.32,55.84,297
20,21.6,14.88,291
21,78.4,59.52,286
22,7.04,63.52,282
1,43.04,36.96,446
2,69.6,28.64,358
3,60.16,76,340
4,4.48,44.16,336
1,40.32,27.68,358
2,24,57.6,343
1,67.84,53.76,349
2,47.52,41.44,342
3,5.92,27.04,287
1,26.08,26.88,384
2,63.04,59.2,368
3,14.56,29.6,342
4,59.04,42.08,315
5,42.72,41.76,314
6,66.4,53.92,308
7,38.24,34.72,307
8,51.04,35.36,297
9,34.24,23.2,296
10,50.24,37.12,292
11,35.84,46.24,290
12,34.4,42.08,290
1,42.08,51.2,437
2,25.12,44.64,434
3,17.44,39.2,414
4,65.6,42.08,358
5,25.28,40.96,353
6,16.96,46.24,347
7,15.2,41.76,344
8,40.32,46.4,324
9,7.84,34.72,322
10,7.68,22.08,319
11,52.8,43.52,312
12,68,13.44,309
13,58.72,37.44,304
14,59.68,44.8,302
15,20.32,47.36,292
16,33.6,30.56,290
17,40.48,76.8,287
18,7.36,37.92,287
19,33.44,47.04,286
20,40.16,49.12,285
21,76.64,31.04,282
1,67.2,34.24,440
2,49.44,66.4,416
3,39.52,42.08,400
4,59.68,41.6,396
5,51.68,58.88,380
6,38.72,44.8,376
7,59.36,52.8,375
8,65.28,57.6,373
9,50.24,60.32,367
10,58.24,45.12,348
11,14.24,15.68,327
12,12.48,33.92,311
13,26.56,14.88,300
14,52.8,74.72,294
1,68.48,26.56,325
2,4.48,36.64,283
3,8,40.64,279
4,23.68,36.32,278
1,61.6,61.44,312
2,33.12,43.36,311
1,75.52,32.48,568
2,47.2,57.76,551
3,9.28,38.24,453
4,11.52,59.68,389
