 ,X,Y,Median,Slice
1,40.96,38.56,452,1
2,54.72,32.32,303,1
1,54.08,56,471,1
2,47.52,30.56,414,1
3,50.24,30.24,411,1
4,53.28,72.48,363,1
5,48.96,28.8,318,1
6,32.16,16.32,303,1
7,48.8,30.08,299,1
8,50.56,31.52,296,1
1,40.64,14.72,349,1
2,63.2,24.8,286,1
3,19.52,23.36,263,1
1,64.16,35.36,863,1
2,66.4,35.2,859,1
3,65.6,35.04,800,1
4,64,36.32,697,1
5,67.52,34.88,600,1
6,14.72,35.04,534,1
7,65.92,33.6,505,1
1,71.68,53.92,753,1
2,71.36,54.56,694,1
3,70.24,55.52,629,1
4,19.84,31.84,596,1
5,23.84,29.76,528,1
6,23.36,28.64,463,1
7,21.6,30.88,412,1
8,22.4,30.24,410,1
9,71.36,56.16,402,1
10,4.8,16.8,394,1
11,66.72,46.88,281,1
12,76.48,56.64,247,1
13,50.4,79.84,242,1
14,60.8,60.64,239,1
15,17.6,59.2,236,1
1,67.84,44.96,960,1
2,69.28,42.24,825,1
3,69.44,45.12,819,1
4,68.8,44,804,1
5,15.84,30.88,714,1
6,69.76,43.36,711,1
7,10.08,57.92,239,1
1,30.72,42.4,1023,1
2,32,46.4,1015,1
3,30.88,43.04,890,1
4,30.72,44.48,681,1
5,31.2,45.44,655,1
6,33.6,44.64,654,1
1,29.92,40.48,488,1
2,30.56,42.72,442,1
3,31.52,44.48,344,1
1,68.48,49.76,836,1
2,47.68,20,807,1
3,45.92,20,749,1
4,9.6,32.64,639,1
5,48.64,20.8,579,1
6,34.24,23.52,235,1
1,67.04,51.2,710,1
2,15.84,17.92,527,1
3,17.44,18.4,392,1
4,23.68,47.52,360,1
5,23.52,46.08,318,1
6,11.68,14.56,247,1
7,39.52,20,243,1
8,35.04,13.28,242,1
1,54.72,8.16,825,1
2,56,9.12,814,1
3,52.32,14.56,805,1
4,32.16,41.28,759,1
5,53.44,11.2,741,1
6,53.44,10.72,734,1
7,56.16,15.68,728,1
8,53.76,7.84,692,1
9,54.24,12.64,665,1
10,56.96,11.52,636,1
11,53.6,14.08,602,1
12,57.28,10.72,594,1
13,56.96,9.44,573,1
14,53.92,11.68,554,1
15,52.48,9.28,543,1
16,54.24,15.04,532,1
17,56.16,14.4,530,1
18,25.6,43.84,503,1
19,25.6,44.32,499,1
20,54.24,16.64,479,1
21,69.12,10.56,467,1
22,68.64,10.08,453,1
23,27.04,43.52,447,1
24,69.28,11.04,446,1
25,26.4,41.76,343,1
26,26.88,42.4,337,1
27,31.52,38.08,327,1
