 ,X,Y,Median
1,47.84,72.48,422
2,41.28,35.04,412
3,60.96,52.16,350
4,23.36,39.68,348
5,18.72,48.64,342
6,67.68,41.44,320
7,56,52.64,315
8,56.16,37.12,315
9,53.76,40.48,311
10,52.48,37.92,309
1,42.88,68.32,382
2,63.68,22.56,372
3,32.16,14.72,358
4,55.52,40.96,335
5,66.24,13.76,331
6,26.4,60.16,327
7,42.88,63.52,323
8,47.04,69.76,313
9,7.36,70.72,307
10,47.2,63.2,305
11,3.68,70.56,299
12,23.36,14.88,298
1,32,51.68,399
2,61.92,67.2,362
3,42.72,63.2,352
4,18.88,43.52,352
5,19.36,64.32,337
6,19.52,29.44,313
7,4.8,72.32,311
8,66.08,63.04,309
9,54.88,52,303
10,27.2,66.56,299
1,63.36,35.2,394
2,73.76,66.88,370
3,70.72,43.68,334
4,16.96,39.84,331
5,46.24,47.2,327
6,79.84,62.56,326
7,23.68,49.92,323
8,59.04,50.24,310
9,62.4,21.76,307
10,11.2,26.56,299
1,27.04,51.68,384
2,9.28,72.8,325
3,51.2,45.28,322
4,61.44,44.8,315
5,50.88,41.28,313
6,72.96,37.76,311
7,68.48,71.36,308
8,55.04,37.6,308
9,72.8,77.6,303
10,77.6,54.08,300
11,36.8,63.04,298
1,14.88,63.68,421
2,48.32,45.6,389
3,75.52,62.56,355
4,63.52,30.24,342
5,33.76,31.84,298
1,2.24,70.08,389
2,22.4,38.88,385
3,72.16,46.72,332
4,12.96,41.28,331
5,39.2,48,324
6,56.48,50.88,318
7,38.72,52.16,315
8,58.08,52.64,314
9,62.88,22.08,306
1,56.96,47.52,364
2,61.76,26.72,349
3,63.04,9.44,307
4,41.44,58.24,296
1,40,55.68,392
2,45.6,49.28,373
3,11.52,58.56,350
4,48.48,48.64,346
5,44.64,52.8,335
6,19.84,50.72,324
7,46.72,48.8,324
8,71.2,31.2,301
9,18.4,64.96,296
1,52,33.28,347
2,5.44,57.28,335
3,50.56,21.92,301
4,32.96,42.24,300
5,47.68,23.52,297
1,24.8,6.08,391
2,17.76,60.16,368
3,77.28,14.88,344
4,9.92,34.56,319
5,34.88,25.92,315
6,21.76,33.76,314
7,20.96,43.68,307
8,29.28,48,304
1,40.64,44.16,511
2,22.08,38.72,403
3,55.2,5.6,396
4,35.52,21.44,379
5,43.2,57.6,360
6,27.36,10.24,354
7,25.76,25.92,341
8,67.04,63.68,325
9,32.48,13.92,311
10,12.48,27.84,302
1,56.8,18.4,560
2,35.36,44.96,416
3,12.48,29.12,386
4,59.04,58.56,378
5,26.4,41.6,338
1,60,15.68,471
2,11.68,4.32,403
3,58.56,19.52,383
4,39.68,35.04,369
5,63.52,29.12,351
6,24.8,35.04,342
7,25.28,58.56,341
8,27.84,37.28,339
9,56,21.44,338
1,16.32,49.12,411
2,23.68,9.44,310
3,23.04,15.2,305
4,27.04,42.4,297
